country,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,happiness,cluster
New Zealand,-1.8009675328445636,1.2305316931604324,1.4207789203708887,-0.26235399137428006,-0.20446471636578895,1.1778501694820942,1.6538103920708562,0
Portugal,-1.685689272875911,0.3800565509779576,0.5222979520287975,-0.1733608244603185,-0.5322755619823306,1.0389411593912359,0.3983375547982337,0
Austria,-1.6487132272255884,1.4579843474650478,1.0511506739010408,-0.08336575161555801,-1.0922857565772544,1.189425920323,1.6454281550267509,0
Denmark,-1.5943366895045257,1.1860300868834426,1.437838685592574,-0.11651805420167821,-1.2288736089174797,1.1093878716516008,1.9732667594184152,0
Canada,-1.5704110129072584,2.5012997835144795,1.318420329040777,0.5184734550521738,-0.6005694881524433,1.2241531728457118,1.4917538092181581,0
Singapore,-1.5269097827304081,2.4024073251211684,0.9374189057564721,-0.12358472613080862,1.1204374513343964,1.4206102014027842,0.8155866876603511,0
Slovenia,-1.509509290659668,1.334368774473409,1.2444946797468073,-0.2696771198508635,-1.8435189444484938,1.119971415277569,0.8938209000719988,0
Japan,-1.4790584295358729,0.9437435638198304,1.0284043202721271,1.7290452164727703,-0.6552046290885333,1.5370622548622845,0.4085825111854733,0
Switzerland,-1.4486075684120778,1.3244795286340783,1.30704715222632,-0.2402693181387939,-0.6825221995565777,1.4487227391592667,1.9276301355116208,0
Ireland,-1.4333821378501805,1.215697824401436,1.426465508778117,-0.06962375888016896,-0.6688634143225559,1.258549689630118,1.4749893351299483,0
Australia,-1.3703053540937475,3.0649867963563526,1.4890179812576299,0.3594911788071511,-0.45032285057819516,1.3395799455164492,1.5662625829435366,0
Finland,-1.220226109983615,1.3640365119914026,1.3525398594841476,-0.15598648157346534,-1.4064378169597727,1.1884337131080662,2.1800286065063395,0
Malaysia,-1.1310485881210723,0.29599796134364326,0.29483441573966024,-0.1265378977804552,0.45115697486729245,0.42508239965543787,-0.10925346620590523,3
Netherlands,-1.1288735266122294,1.0723037597311351,1.358226447891376,0.12303588924308348,-1.2561911793855247,1.219192136771039,1.827974650653928,0
Belgium,-1.1223483420857023,2.1403423103788946,1.2843007985974064,-0.04390163773310114,-1.4064378169597727,1.1831419412950783,1.2412180575665739,0
Sweden,-1.1223483420857023,2.0463944749052487,1.3468532710769192,-0.02801348798821591,-1.215214823683457,1.3475176032359273,1.733907323825638,0
Norway,-1.1158231575591744,0.9239650721411686,1.4094057435564318,-0.09736576943997474,-1.4610729578958628,1.340572152731385,1.7609167543010875,0
Hungary,-1.1071229115238044,-0.09462724930993542,0.8407469028335889,-0.20110440356169892,-0.9693566894710511,0.4069051634778365,0.45701321410696877,0
Germany,-1.091897480961907,1.082193005570466,1.551570453737142,1.3867353302027943,-0.7917924814287586,1.0739991476522626,1.5401845121396545,0
Slovakia,-1.0853722964353794,0.4690597635319374,0.9317323173492438,-0.22628380932394257,-1.7069310921082683,0.603362192034905,0.7727441427682592,0
Mauritius,-1.0592715583292693,0.17238238835200442,0.3517002998119445,-0.26775212720339103,-0.12251200496165449,0.16470738231227375,0.5101007153863011,3
Romania,-0.9635688519401989,-0.198464330622912,0.5393577172504828,-0.15941256850786478,-0.2317822868338344,0.33050520792786303,0.5948544454989181,3
Bulgaria,-0.9613937904313566,0.10315766747668663,0.7838810187613052,-0.24151474014905516,0.369204263463157,0.2567511382843835,-0.21915390745083838,3
Chile,-0.9026671296926092,0.6173984511219043,0.755448076725163,-0.2590753473478964,0.9155556728240585,0.9708790518040978,0.6246579549890694,0
Croatia,-0.8787414530953414,0.39983504265661984,0.7042687810601072,-0.2472038404402612,-0.9966742599390966,0.7326798657147271,0.3545636502345734,0
Poland,-0.8591658995157591,0.6569554344792288,1.1307629116022389,-0.015085960465456785,-1.0922857565772544,0.6556184386881312,0.6190697969596667,0
Botswana,-0.8113145463212239,0.35533343637962994,-0.04636088869404493,-0.26516128865748545,2.131187558652064,-0.46500684871818093,-1.8946699566002805,1
Spain,-0.761288131617846,0.276219469664981,0.8919261984986447,0.2925936649196981,-0.40934649487612695,1.418956522711226,0.921761690219015,0
Costa Rica,-0.7460627010559487,-0.13418423266725987,0.29483441573966024,-0.24807477314957804,1.40727194124887,0.9841680137694564,1.4600875803848727,3
Uruguay,-0.7351873935117359,-0.09957187222960087,0.37444665344085826,-0.24849435802079325,0.27359276682499983,0.6630633001575242,0.8658801099249817,3
Latvia,-0.7199619629498386,1.5717106746173557,1.1307629116022389,-0.2574777877541293,-0.28641742776992435,0.3007389914798222,0.4942676009696579,0
Estonia,-0.7003864093702558,1.8535541810382925,1.1478226768239241,-0.2579326648107738,-0.9966742599390966,0.7426019378640747,0.6404910694057127,0
Lithuania,-0.6982113478614135,1.3442580203127403,1.2046885608962083,-0.24750343188101676,-0.05421807879154181,0.4221190074401662,0.7019608077291495,0
Italy,-0.6416597486315083,0.7410140241135431,0.7042687810601072,0.5593531777057399,-0.24544107206785712,1.37992970559046,0.9143108128464771,0
Malawi,-0.5872832109104459,-1.1379426853593668,-1.2291712773975574,-0.2715883877595579,0.9565320285261266,-1.1876280559977366,-1.7707991202818392,1
Indonesia,-0.5742328418573909,-0.7572067205451194,-0.2567646597614968,0.178986943616543,0.014075847378570872,-0.17698893836693777,-0.14557649339702766,3
Mongolia,-0.559007411295493,1.4678735933043792,0.5621040708793964,-0.2715048629207085,-0.6825221995565777,-0.4273095892654279,0.16363491756329174,0
Ghana,-0.550307165260123,-0.5643664266781628,-0.6207063178241157,-0.24246370780171017,0.7926266057178558,-1.2132567683595008,-0.38493592898980483,1
