country,tradition_secularism,survival_self-expression,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,happiness,cluster
Albania,0.3721031539258874,-1.0872434941902613,-0.37755396189400414,-0.682703002560379,0.09896997632020911,-0.32581719593992603,-0.43776724405110434,0.47848444640467624,-0.6518986787302915,2
Algeria,-1.1884440537690244,-0.6851301601048824,0.4346972642347188,-0.7266982680779166,-0.4227821576496486,-0.27355028618875377,-1.2270748507493106,0.20896169865620068,-0.8787600687615713,0
Argentina,-0.36286424066590983,0.4407871753341786,-0.03469414784971868,-0.22808525887915618,0.5563082665900843,-0.1796255517076019,0.7180046086141254,0.17505245750414886,0.14902066346709494,0
Armenia,0.8553693859862472,-1.2581416611765475,0.5877596812187751,-0.672926276889815,0.12473551380020212,-0.32196975049088516,-0.2686298997586322,-0.07648088061905935,-0.4881639363598895,2
Australia,0.5130558049434922,1.8180253445766015,-1.1979685169285434,2.788034610489816,1.2841847003998867,0.1928316676216511,-0.2686298997586322,1.1673355565686803,1.3859084160724175,3
Austria,0.5533279909485223,1.4963346773082982,-1.4591950419146655,1.1993166890231772,0.7881981039100214,-0.17123209237315054,-0.9310844982374836,0.9910525440525713,1.4697484949970208,3
Azerbaijan,0.16067417739947998,-1.3285114946414887,0.8551087028842589,-0.6338193742075593,-0.13291986099972797,-0.30938681473785523,-0.36729335059590734,-0.40793177300673156,-0.5986355697664256,2
Bangladesh,-0.916606798235072,-0.8761339937954374,0.24898153162739822,-1.4110690650173918,-1.4276381193693752,-0.21169554882590377,-0.55052547357942,-0.47383987552762313,-0.7426432347428029,4
Belarus,1.197682967029002,-1.1777189943594717,0.2224507126834954,0.7251454940008267,0.6980187227300458,-0.3051609108927378,-1.5653495393342562,-0.2134186119495782,-0.24058911506488526,2
Belgium,0.8050291534799597,1.194749676744264,-0.9653136431127787,1.8739107602920886,1.0522948630799498,-0.1387894394576898,-1.2552644081313897,0.9836750611499123,1.0416709155466934,3
Bosnia and Herzegovina,0.6439404094598399,-0.5946546599356721,0.02653081894390372,-0.2378619845497201,-0.0749474016697437,-0.3193650283100515,-0.4659568014331835,0.29190402091075246,0.034603614581753504,2
Brazil,-0.6850417287061497,0.6720023424332715,0.540820540010331,-0.2427503473850022,-0.2810717015096871,0.20420508386694738,2.4798519449940497,0.04992258170361582,0.5445485652172818,0
Bulgaria,1.4393160830591818,-0.9565566606125132,-0.8142920583551768,-0.14009472784408095,0.48545303852010424,-0.30124318952347146,0.5770568217037314,-0.10392123413120323,-0.5049319521448106,2
Burkina Faso,-1.0273553097489045,-0.4338093263015206,0.34694147849719403,-1.1715392860885754,-2.857625449508986,-0.3199323935375598,-0.14177689153927786,-2.227250119887761,-0.9310368238557356,4
Canada,0.039857619384390024,1.978870678210753,-1.3857250817623188,2.230761247267672,1.0909431692999392,0.32352779381086705,-0.42367246536006575,1.0318228443040915,1.3070001064963204,3
Chile,-0.5742932171923172,0.05877950795306864,-0.7591895882409169,0.3682950070252436,0.453246116670113,-0.3156794108974931,1.140847969345307,0.7344753373553853,0.3887046538044895,0
China,1.1070705485176846,-1.1073491608945303,0.4306155997818111,-0.11076455083238915,-0.5516098450496136,5.109703511626366,0.30925602657398316,0.2140560447447737,-0.4329281196566215,1
Colombia,-1.581097867318067,0.661949509081137,1.3367451083274218,-0.8489073389599656,-0.34548554520966956,-0.22939283079167214,1.9865346908076709,0.27375541297021877,0.23088803465229504,0
Croatia,0.3821712004271449,0.3704173418692373,-0.7367404337499217,0.15320704227283696,0.3952736573401287,-0.3059200842511367,-0.832421047400208,0.4548260236015809,0.10266203159113726,2
Cyprus,-0.2621837756533349,0.18946634153081682,-0.1877565648337749,0.2949695644960139,0.504777191630099,-0.31780026080191204,-0.6914732604898141,0.8619931878849363,0.4390087011592516,2
Denmark,1.4695202225629542,1.9386593448022154,-1.4081742362533134,0.9304567330826692,1.2262122410699026,-0.19848593238976237,-1.0720322851478776,0.8970867091871548,1.8169450571318484,3
Dominican Republic,-0.7555180542149521,0.39052300857350625,0.07142912792589302,-1.0151116753595524,-0.5580512294196119,-0.2975053487206538,1.042184518508032,-0.23663438577851997,-0.22973922249817177,0
Egypt,-1.319328658285372,-0.40365082624511717,1.0510285966238506,-0.7120331795720708,-0.8092652198495438,-0.19859489230277247,-0.6773784817987745,-0.5695180630036029,-1.4745178060611042,4
El Salvador,-1.7723907508419592,0.5915796756161958,0.5224530499722445,-0.7511400822543265,-0.9638584447295018,-0.31743953256919505,0.32335080526502274,-0.3582618986431616,0.2792193742676549,0
Estonia,1.580268734076787,-1.1375076609509338,-0.5693921911806872,1.5903857158457346,0.8977016381999917,-0.31474003460603894,-0.832421047400208,0.4664746808163026,0.4054726695894105,2
Ethiopia,-0.3527961941646523,-0.3031224927237724,0.8734761929223462,-1.2644181799589327,-2.593528690339058,-0.29645604541636994,-0.18406122761239563,-1.4280745772431367,-1.4824086370187137,4
Finland,1.1272066415201996,1.1846968433921297,-1.057151093303212,1.1064377951528201,1.1295914755199288,-0.23093213133789503,-1.2552644081313897,0.9898876783311003,2.035915616205518,3
France,0.9359137579963072,1.194749676744264,-0.23265487381576466,0.7495873081772365,0.7109014914700423,0.6215379913926505,-0.6632837031077349,1.116081464823907,0.8996359583097193,3
Georgia,0.26135464241205497,-1.2581416611765475,0.23673653826867327,-0.9906698611831426,0.7431084133200336,-0.3206048502787998,0.013265674062155678,-0.2866226567726271,-0.874814653282766,2
