country,tradition_secularism,survival_self-expression,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,religion_christian,religion_muslim,religion_unaffiliated,religion_hinduism,religion_buddhism,religion_folk,religions_other,religion_judaism,happiness,cluster
Albania,0.3721031539258874,-1.0872434941902613,-0.37755396189400414,-0.682703002560379,0.09896997632020911,-0.32581719593992603,-0.43776724405110434,0.47848444640467624,-0.5444766697402624,-0.3268905945016012,-0.16308665999616107,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.6518986787302915,1
Algeria,-1.1884440537690244,-0.6851301601048824,0.4346972642347188,-0.7266982680779166,-0.4227821576496486,-0.27355028618875377,-1.2270748507493106,0.20896169865620068,-0.5583489266905625,0.4957073334460901,-0.15504282309724507,-0.11206882973075856,-0.17291350172106434,-0.13366368364281317,-0.17921334799280242,-0.18186133541044094,-0.8787600687615713,0
Argentina,-0.36286424066590983,0.4407871753341786,-0.03469414784971868,-0.22808525887915618,0.5563082665900843,-0.1796255517076019,0.7180046086141254,0.17505245750414886,0.3582871287177279,-0.3823954920030468,-0.09886783098350381,-0.11206882973075856,-0.17236842436036723,-0.1236454910164109,-0.1429176787370344,0.04632576787707297,0.14902066346709494,1
Armenia,0.8553693859862472,-1.2581416611765475,0.5877596812187751,-0.672926276889815,0.12473551380020212,-0.32196975049088516,-0.2686298997586322,-0.07648088061905935,-0.47858344922633694,-0.3924989180459367,-0.16321852617483182,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.4881639363598895,0
Australia,0.5130558049434922,1.8180253445766015,-1.1979685169285434,2.788034610489816,1.2841847003998867,0.1928316676216511,-0.2686298997586322,1.1673355565686803,-0.16032186188579844,-0.37881453087392125,-0.09267012058597837,-0.10916327098646399,-0.1512920997467456,-0.12928072436876217,-0.1239808078209815,-0.058991356717164226,1.3859084160724175,1
Austria,0.5533279909485223,1.4963346773082982,-1.4591950419146655,1.1993166890231772,0.7881981039100214,-0.17123209237315054,-0.9310844982374836,0.9910525440525713,-0.37987700554150944,-0.3811165773140734,-0.14884511269971962,-0.11206882973075856,-0.17236842436036723,-0.1338202179026007,-0.17763527541646468,-0.17601038404409444,1.4697484949970208,1
Azerbaijan,0.16067417739947998,-1.3285114946414887,0.8551087028842589,-0.6338193742075593,-0.13291986099972797,-0.30938681473785523,-0.36729335059590734,-0.40793177300673156,-0.552479894903897,-0.16497999487756868,-0.16368005780017944,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.5986355697664256,0
Bangladesh,-0.916606798235072,-0.8761339937954374,0.24898153162739822,-1.4110690650173918,-1.4276381193693752,-0.21169554882590377,-0.55052547357942,-0.47383987552762313,-0.5479447339778374,3.045863223259051,-0.16368005780017944,0.008678570544433955,-0.13966378271854055,-0.13084606696663753,-0.14922996904238534,-0.18186133541044094,-0.7426432347428029,0
Belarus,1.197682967029002,-1.1777189943594717,0.2224507126834954,0.7251454940008267,0.6980187227300458,-0.3051609108927378,-1.5653495393342562,-0.2134186119495782,-0.3777428121645402,-0.39211524363924466,-0.1276146579337282,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.24058911506488526,1
Belgium,0.8050291534799597,1.194749676744264,-0.9653136431127787,1.8739107602920886,1.0522948630799498,-0.1387894394576898,-1.2552644081313897,0.9836750611499123,-0.3764089413039344,-0.37651248443376917,-0.1227356093229103,-0.11206882973075856,-0.1720050394532358,-0.13335061512323812,-0.17763527541646468,-0.1526065785787084,1.0416709155466934,1
